"Country name";"ISO3";"Region";"Region code";"Part of"
"Afghanistan";"AFG";"West Asia";"WA";
"Åland Islands";"ALA";"Western Europe";"WE";"FIN"
"Albania";"ALB";"Eastern Europe";"EE";
"Algeria";"DZA";"Africa";"AF";
"American Samoa";"ASM";"Oceania";"OZ";"USA"
"Andorra";"AND";"Western Europe";"WE";
"Angola";"AGO";"Africa";"AF";
"Anguilla";"AIA";"Central America";"CA";"GBR"
"Antarctica";"ATA";"Arctic Region";"AR";
"Antigua and Barbuda";"ATG";"Central America";"CA";
"Argentina";"ARG";"South America";"SA";
"Armenia";"ARM";"West Asia";"WA";
"Aruba";"ABW";"Central America";"CA";
"Australia";"AUS";"Oceania";"OZ";"AUS"
"Austria";"AUT";"Western Europe";"WE";
"Azerbaijan";"AZE";"West Asia";"WA";
"Bahamas";"BHS";"Central America";"CA";
"Bahrain";"BHR";"Middle East";"ME";
"Bangladesh";"BGD";"East Asia";"EA";
"Barbados";"BRB";"Central America";"CA";
"Belarus";"BLR";"Eastern Europe";"EE";
"Belgium";"BEL";"Western Europe";"WE";
"Belize";"BLZ";"Central America";"CA";
"Benin";"BEN";"Africa";"AF";
"Bermuda";"BMU";"Central America";"CA";
"Bhutan";"BTN";"West Asia";"WA";
"Bolivia";"BOL";"South America";"SA";
"Bosnia and Herzegovina";"BIH";"Eastern Europe";"EE";
"Botswana";"BWA";"Africa";"AF";
"Bouvet Island";"BVT";"Arctic Region";"AR";"NOR"
"Brazil";"BRA";"South America";"SA";
"British Indian Ocean Territory";"IOT";"West Asia";"WA";"GBR"
"Brunei Darussalam";"BRN";"East Asia";"EA";
"Bulgaria";"BGR";"Eastern Europe";"EE";
"Burkina Faso";"BFA";"Africa";"AF";
"Burundi";"BDI";"Africa";"AF";
"Cambodia";"KHM";"East Asia";"EA";
"Cameroon";"CMR";"Africa";"AF";
"Canada";"CAN";"North America";"NA";
"Cape Verde";"CPV";"Africa";"AF";
"Cayman Islands";"CYM";"Central America";"CA";
"Central African Republic";"CAF";"Africa";"AF";
"Chad";"TCD";"Africa";"AF";
"Chile";"CHL";"South America";"SA";
"China";"CHN";"East Asia";"EA";"CHN"
"Christmas Island";"CXR";"Oceania";"OZ";"AUS"
"Cocos Islands";"CCK";"Oceania";"OZ";"AUS"
"Colombia";"COL";"South America";"SA";
"Comoros";"COM";"Africa";"AF";
"Congo";"COG";"Africa";"AF";
"Congo, The Democratic Republic of the";"COD";"Africa";"AF";
"Cook Islands";"COK";"Oceania";"OZ";"NZL"
"Costa Rica";"CRI";"Central America";"CA";
"Cõte d'Ivoire";"CIV";"Africa";"AF";
"Croatia";"HRV";"Eastern Europe";"EE";
"Cuba";"CUB";"Central America";"CA";
"Cyprus";"CYP";"Eastern Europe";"EE";
"Czech Republic";"CZE";"Eastern Europe";"EE";
"Denmark";"DNK";"Western Europe";"WE";"DNK"
"Djibouti";"DJI";"Africa";"AF";
"Dominica";"DMA";"Central America";"CA";
"Dominican Republic";"DOM";"Central America";"CA";
"Ecuador";"ECU";"South America";"SA";
"Egypt";"EGY";"Africa";"AF";
"El Salvador";"SLV";"Central America";"CA";
"Equatorial Guinea";"GNQ";"Africa";"AF";
"Eritrea";"ERI";"Africa";"AF";
"Estonia";"EST";"Eastern Europe";"EE";
"Ethiopia";"ETH";"Africa";"AF";
"Falkland Islands";"FLK";"South America";"SA";"GBR"
"Faroe Islands";"FRO";"Western Europe";"WE";"DNK"
"Fiji";"FJI";"Oceania";"OZ";
"Finland";"FIN";"Western Europe";"WE";"FIN"
"France";"FRA";"Western Europe";"WE";"FRA"
"French Guiana";"GUF";"South America";"SA";"FRA"
"French Polynesia";"PYF";"Oceania";"OZ";"FRA"
